checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target_label
<0,0.2569530922366421,existing paid,furniture/equipment,0.26538663890078273,<100,1<=X<4,-0.8701833340815202,male single,none,-0.7659772668958666,car,-0.7516416709837335,stores,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,0.5058582510063954,delayed previously,business,0.6542110174906823,<100,4<=X<7,0.024146916773074168,male single,none,1.0469866784197936,car,-0.8395941248783899,none,own,1.0270789116578085,skilled,-0.4282895663715403,nan,1,1
no checking,-0.2408572253028645,critical/other existing credit,education,-0.49879327016013203,100<=X<500,1<=X<4,0.9184771676276685,female div/dep/mar,none,-0.7659772668958666,real estate,-0.4877843092997643,none,own,1.0270789116578085,skilled,-0.4282895663715403,nan,1,0
<0,-0.2408572253028645,existing paid,furniture/equipment,-0.28293725688643206,<100,unemployed,0.9184771676276685,male single,none,-1.6724592395536968,car,-0.9275465787730462,none,own,-0.7049259983890862,unemp/unskilled non res,-0.4282895663715403,nan,1,0
no checking,3.2438149974736814,existing paid,new car,1.1539761713756034,no known savings,1<=X<4,0.9184771676276685,male single,none,1.0469866784197936,no known property,-0.13597449372113873,none,for free,-0.7049259983890862,skilled,2.3348689263480744,1.0,1,1
0<=X<200,-0.738667542842371,critical/other existing credit,radio/tv,0.10695045181811628,<100,1<=X<4,-1.7645135849361147,female div/dep/mar,none,-1.6724592395536968,real estate,-1.103451486562359,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
0<=X<200,0.2569530922366421,existing paid,radio/tv,-0.46228560289052434,<100,>=7,0.9184771676276685,female div/dep/mar,none,1.0469866784197936,car,-1.3673088482463283,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
>=200,-1.2364778603818776,critical/other existing credit,new car,-0.6905471341684599,100<=X<500,>=7,-0.8701833340815202,male div/sep,none,1.0469866784197936,car,-0.6636892170890771,none,own,1.0270789116578085,skilled,2.3348689263480744,1.0,1,1
<0,-0.738667542842371,existing paid,radio/tv,-0.37473809011777576,<100,1<=X<4,0.9184771676276685,male single,none,0.1405047057619635,life insurance,-1.0154990326677027,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
0<=X<200,-0.8216359290989554,delayed previously,radio/tv,0.5315736109345244,<100,4<=X<7,-0.8701833340815202,male single,none,1.0469866784197936,life insurance,1.35921722248802,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,1.2525737273156552,delayed previously,new car,2.695095950873218,<100,>=7,-0.8701833340815202,male single,none,-0.7659772668958666,car,0.8315024991200816,none,own,1.0270789116578085,skilled,2.3348689263480744,1.0,1,1
<0,-1.2364778603818776,existing paid,used car,-0.6802682763935218,500<=X<1000,unemployed,-1.7645135849361147,female div/dep/mar,none,-0.7659772668958666,life insurance,-1.103451486562359,none,rent,-0.7049259983890862,unemp/unskilled non res,-0.4282895663715403,1.0,1,1
no checking,-0.4897623840726178,critical/other existing credit,used car,0.03428956065045045,>=1000,>=7,0.024146916773074168,male single,none,1.0469866784197936,no known property,-1.103451486562359,none,rent,1.0270789116578085,skilled,-0.4282895663715403,1.0,1,1
>=200,0.2569530922366421,existing paid,radio/tv,0.666616535494918,<100,4<=X<7,0.9184771676276685,male single,none,-0.7659772668958666,car,-0.9275465787730462,bank,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,0.2569530922366421,existing paid,used car,-0.20992192234721666,<100,<1,0.9184771676276685,female div/dep/mar,none,-1.6724592395536968,no known property,-0.5757367631944207,none,own,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,1
no checking,-0.738667542842371,existing paid,used car,-0.6586472307289969,>=1000,4<=X<7,0.024146916773074168,male single,none,-0.7659772668958666,life insurance,1.7110270380666455,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,0,1
>=200,-1.4024146328950464,existing paid,new car,-0.6299373176334802,no known savings,<1,-1.7645135849361147,male single,none,-0.7659772668958666,real estate,-0.5757367631944207,none,own,-0.7049259983890862,unskilled resident,2.3348689263480744,nan,0,1
>=200,-0.738667542842371,existing paid,radio/tv,-0.09047450613500503,<100,1<=X<4,0.024146916773074168,male mar/wid,none,-1.6724592395536968,car,-1.0154990326677027,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-0.738667542842371,existing paid,radio/tv,-0.07523344115837269,>=1000,4<=X<7,-0.8701833340815202,male div/sep,none,1.0469866784197936,real estate,2.238741761434584,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
<0,-0.738667542842371,existing paid,new car,-0.7079148593743898,<100,<1,0.024146916773074168,female div/dep/mar,none,-1.6724592395536968,real estate,0.12788286796283044,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,0
<0,-0.738667542842371,existing paid,new car,-0.7454858567586463,<100,1<=X<4,0.9184771676276685,male mar/wid,none,0.1405047057619635,real estate,-0.7516416709837335,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
0<=X<200,3.2438149974736814,existing paid,education,1.0692642055752515,<100,1<=X<4,0.9184771676276685,male single,none,1.0469866784197936,no known property,0.5676451374361124,none,for free,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,0
0<=X<200,1.2525737273156552,delayed previously,new car,-0.1450587853536418,100<=X<500,>=7,0.9184771676276685,male single,none,0.1405047057619635,no known property,-0.4877843092997643,none,for free,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
0<=X<200,-0.9875727016121243,existing paid,furniture/equipment,-0.4399556704829002,no known savings,4<=X<7,-0.8701833340815202,male single,none,-1.6724592395536968,car,-1.0154990326677027,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
no checking,-0.9046043153555399,existing paid,new car,-0.5934296503638724,500<=X<1000,1<=X<4,0.024146916773074168,male single,none,-0.7659772668958666,no known property,0.3917402296467996,none,rent,-0.7049259983890862,unskilled resident,2.3348689263480744,nan,0,1
no checking,-1.2364778603818776,existing paid,furniture/equipment,-0.5335287205719919,<100,1<=X<4,-1.7645135849361147,male mar/wid,none,-0.7659772668958666,life insurance,-1.279356394351672,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,0.2569530922366421,existing paid,used car,1.610144790559925,<100,4<=X<7,0.024146916773074168,male single,none,0.1405047057619635,car,0.21583532185748686,none,own,-0.7049259983890862,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,1
no checking,1.2525737273156552,critical/other existing credit,used car,2.5540274889964816,no known savings,>=7,-0.8701833340815202,male single,none,1.0469866784197936,no known property,0.5676451374361124,none,for free,1.0270789116578085,skilled,-0.4282895663715403,nan,1,1
no checking,-0.738667542842371,critical/other existing credit,radio/tv,-0.4739822341516608,<100,>=7,-0.8701833340815202,male single,none,-0.7659772668958666,no known property,-0.8395941248783899,none,own,1.0270789116578085,skilled,-0.4282895663715403,nan,1,1
<0,0.2569530922366421,existing paid,furniture/equipment,-0.04333353771890964,<100,<1,0.9184771676276685,male single,none,-1.6724592395536968,no known property,-1.1914039404570154,bank,for free,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
<0,-1.2364778603818776,critical/other existing credit,new car,0.143458119087724,<100,1<=X<4,-1.7645135849361147,male single,none,0.1405047057619635,real estate,0.12788286796283044,none,rent,2.7590838217047033,skilled,2.3348689263480744,nan,1,1
no checking,-1.2364778603818776,existing paid,furniture/equipment,-0.6125695924275503,>=1000,1<=X<4,0.9184771676276685,male div/sep,none,-0.7659772668958666,real estate,-0.22392694761579512,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
0<=X<200,-0.2408572253028645,existing paid,repairs,0.21292901991144353,<100,unemployed,-0.8701833340815202,female div/dep/mar,none,1.0469866784197936,car,2.7664564848025224,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
no checking,0.2569530922366421,critical/other existing credit,new car,-0.47185557392236327,>=1000,>=7,0.9184771676276685,male single,none,1.0469866784197936,real estate,2.1507893075399274,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
<0,-0.2408572253028645,existing paid,furniture/equipment,-0.4367656801389539,<100,1<=X<4,-1.7645135849361147,female div/dep/mar,none,1.0469866784197936,real estate,-1.3673088482463283,bank,rent,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,0
0<=X<200,-0.738667542842371,critical/other existing credit,new car,-0.45236118848713586,100<=X<500,<1,0.9184771676276685,male single,none,-1.6724592395536968,car,-0.7516416709837335,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
0<=X<200,-0.738667542842371,existing paid,radio/tv,-0.6040629515103602,<100,1<=X<4,-1.7645135849361147,female div/dep/mar,none,-1.6724592395536968,car,-1.1914039404570154,none,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
no checking,-1.2364778603818776,all paid,radio/tv,-0.5391998145167852,500<=X<1000,>=7,-0.8701833340815202,male single,none,1.0469866784197936,life insurance,0.8315024991200816,bank,own,-0.7049259983890862,unskilled resident,2.3348689263480744,nan,1,1
<0,-0.9875727016121243,existing paid,furniture/equipment,-0.40238467309864373,<100,1<=X<4,0.024146916773074168,male single,none,-0.7659772668958666,real estate,-0.9275465787730462,none,own,-0.7049259983890862,skilled,-0.4282895663715403,nan,1,1
no checking,-0.738667542842371,critical/other existing credit,furniture/equipment,0.8966502836306015,no known savings,>=7,-0.8701833340815202,male single,none,1.0469866784197936,life insurance,1.1833123146987072,none,rent,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
0<=X<200,-0.9875727016121243,critical/other existing credit,education,-0.627456214032633,<100,>=7,-0.8701833340815202,female div/dep/mar,none,0.1405047057619635,car,-0.13597449372113873,none,own,1.0270789116578085,high qualif/self emp/mgmt,-0.4282895663715403,1.0,1,0
no checking,1.2525737273156552,critical/other existing credit,furniture/equipment,1.366642194305357,<100,<1,-0.8701833340815202,female div/dep/mar,none,1.0469866784197936,life insurance,-1.103451486562359,none,rent,1.0270789116578085,skilled,-0.4282895663715403,1.0,1,0
no checking,0.2569530922366421,critical/other existing credit,furniture/equipment,-0.5976829708224675,<100,4<=X<7,0.9184771676276685,male single,none,0.1405047057619635,life insurance,0.3917402296467996,none,own,1.0270789116578085,skilled,-0.4282895663715403,nan,1,1
0<=X<200,3.2438149974736814,delayed previously,radio/tv,1.4697852154262876,no known savings,1<=X<4,-1.7645135849361147,male single,none,-1.6724592395536968,real estate,-0.7516416709837335,none,own,-0.7049259983890862,unskilled resident,-0.4282895663715403,nan,1,1
<0,0.2569530922366421,all paid,furniture/equipment,-0.2793928231709362,500<=X<1000,1<=X<4,0.9184771676276685,male single,none,1.0469866784197936,real estate,-1.1914039404570154,stores,own,-0.7049259983890862,skilled,-0.4282895663715403,1.0,1,1
0<=X<200,-0.738667542842371,existing paid,radio/tv,-0.7500936205887909,<100,>=7,0.024146916773074168,male mar/wid,guarantor,0.1405047057619635,real estate,0.3917402296467996,bank,own,1.0270789116578085,unskilled resident,-0.4282895663715403,nan,1,1
